日期,全国累计确诊人数,全国每日新增确诊
1月23日,835,261
1月24日,1297,462
1月25日,1985,688
1月26日,2761,776
1月27日,4535,1774
1月28日,5997,1462
1月29日,7736,1739
1月30日,9720,1984
1月31日,11821,2101
2月1日,14411,2590
2月2日,17238,2827
2月3日,20471,3233
2月4日,24363,3892
2月5日,28060,3697
2月6日,31197,3137
2月7日,34594,3397
2月8日,37162,2568
2月9日,40222,3060
2月10日,42708,2486
2月11日,44730,2022
2月12日,58839,14109
2月13日,63932,5093
2月14日,66575,2643
2月15日,68584,2009
2月16日,70635,2051
2月17日,72528,1893
2月18日,74276,1748
2月19日,75101,825
2月20日,75993,892
2月21日,76392,399
2月22日,76846,454
